Draw Date,Results,Bonus,Jackpot,Outcome
2012 December 29,"['1', '26', '33', '36', '45', '48']",22,"$15,546,830.20",Won
2012 December 26,"['3', '5', '26', '27', '37', '39']",21,"$11,154,816.20",Roll
2012 December 22,"['8', '10', '14', '16', '18', '35']",43,"$7,514,090.40",Roll
2012 December 19,"['1', '13', '16', '30', '33', '48']",49,"$3,287,100.40",Roll
2012 December 15,"['11', '22', '36', '37', '43', '48']", 7,"$3,627,484.90",Won
2012 December 12,"['6', '7', '24', '27', '28', '46']",44,"$3,396,966.30",Won
2012 December 8,"['2', '12', '22', '42', '43', '46']", 5,"$21,254,832.90",Won
2012 December 5,"['4', '26', '34', '38', '41', '46']",44,"$16,252,617.60",Roll
2012 December 1,"['7', '22', '28', '32', '34', '38']",20,"$11,752,130.20",Roll
2012 November 28,"['3', '6', '13', '29', '36', '38']",33,"$7,352,602.50",Roll
2012 November 24,"['6', '32', '35', '36', '40', '45']",48,"$3,753,133.20",Roll
2012 November 21,"['10', '16', '21', '31', '33', '36']",27,"$7,652,677.10",Won
2012 November 17,"['3', '4', '20', '31', '41', '48']",15,"$3,907,124.30",Roll
2012 November 14,"['15', '20', '29', '36', '38', '42']",27,"$45,677,260.50",Won
2012 November 10,"['6', '22', '23', '41', '44', '49']",48,"$40,000,000",Roll
2012 November 7,"['20', '36', '42', '43', '45', '48']", 5,"$30,887,937.10",Roll
2012 November 3,"['9', '22', '34', '35', '46', '47']",26,"$24,967,752",Roll
2012 October 31,"['4', '8', '17', '23', '34', '47']",30,"$19,469,365.50",Roll
2012 October 27,"['11', '15', '16', '17', '31', '40']", 6,"$15,111,887",Roll
2012 October 24,"['9', '10', '11', '24', '34', '42']", 5,"$10,754,187",Roll
2012 October 20,"['13', '14', '21', '24', '32', '35']",18,"$7,185,484",Roll
2012 October 17,"['4', '20', '22', '23', '42', '44']",41,"$3,175,141.60",Roll
2012 October 13,"['6', '14', '26', '27', '34', '46']",37,"$3,592,223.40",Won
2012 October 10,"['8', '22', '37', '40', '41', '44']", 4,"$15,886,262",Won
2012 October 6,"['20', '24', '27', '40', '44', '45']",35,"$11,864,071.50",Roll
2012 October 3,"['5', '15', '20', '25', '28', '33']",39,"$7,439,231.30",Roll
2012 September 29,"['2', '7', '18', '20', '41', '48']",29,"$3,875,902.40",Roll
2012 September 26,"['2', '5', '9', '13', '22', '38']",37,"$3,294,730.20",Won
2012 September 22,"['4', '19', '22', '24', '32', '33']",21,"$3,781,467.90",Won
2012 September 19,"['7', '9', '18', '22', '28', '38']",26,"$1,624,352",Won
2012 September 15,"['9', '10', '12', '19', '24', '31']",17,"$7,417,295.20",Won
2012 September 12,"['3', '29', '33', '36', '39', '45']",37,"$3,604,435.60",Roll
2012 September 8,"['1', '4', '6', '24', '26', '29']",12,"$7,140,631",Won
2012 September 5,"['15', '21', '23', '26', '28', '48']", 6,"$3,297,471.30",Roll
2012 September 1,"['2', '5', '20', '30', '39', '45']",25,"$3,721,678.30",Won
2012 August 29,"['3', '5', '8', '14', '24', '34']",38,"$3,336,622.50",Won
2012 August 25,"['4', '12', '17', '18', '34', '44']",21,"$3,320,376.20",Roll
2012 August 22,"['9', '13', '19', '32', '41', '49']",17,"$6,868,101",Won
2012 August 18,"['7', '14', '15', '23', '35', '37']",36,"$3,427,262.70",Roll
2012 August 15,"['1', '6', '12', '19', '24', '31']", 5,"$3,000,000",Won
2012 August 11,"['17', '20', '22', '35', '38', '48']",36,"$30,663,649.80",Won
2012 August 8,"['6', '8', '18', '20', '40', '42']",36,"$25,168,179",Roll
2012 August 4,"['3', '8', '23', '25', '29', '47']",32,"$20,595,403.80",Roll
2012 August 1,"['1', '14', '17', '29', '36', '37']",13,"$16,031,500.30",Roll
2012 July 28,"['6', '10', '22', '30', '35', '49']",17,"$11,799,351.50",Roll
2012 July 25,"['1', '20', '27', '36', '40', '42']",14,"$7,388,463.50",Roll
2012 July 21,"['11', '21', '35', '37', '46', '47']",32,"$3,713,142.20",Roll
2012 July 18,"['1', '11', '12', '17', '32', '40']",14,"$10,998,364.80",Won
2012 July 14,"['13', '17', '22', '29', '36', '45']",47,"$7,064,479.40",Roll
2012 July 11,"['5', '8', '14', '18', '43', '49']",37,"$3,180,540.20",Roll
2012 July 7,"['3', '20', '27', '29', '38', '44']",45,"$7,266,294.10",Won
2012 July 4,"['15', '20', '22', '25', '27', '41']",28,"$3,221,129.60",Roll
2012 June 30,"['12', '22', '31', '32', '35', '47']", 4,"$32,388,978",Won
2012 June 27,"['4', '10', '19', '24', '32', '35']", 1,"$26,285,936.70",Roll
2012 June 23,"['12', '19', '28', '34', '36', '41']", 1,"$21,298,455.30",Roll
2012 June 20,"['1', '6', '10', '26', '31', '38']",11,"$16,260,040.50",Roll
2012 June 16,"['1', '8', '19', '26', '37', '44']",16,"$12,070,750.30",Roll
2012 June 13,"['7', '11', '15', '22', '37', '44']",16,"$7,657,866.20",Roll
2012 June 9,"['8', '18', '29', '37', '38', '44']",48,"$4,024,155.10",Roll
2012 June 6,"['8', '21', '22', '26', '30', '39']", 7,"$3,557,160.70",Won
2012 June 2,"['7', '22', '27', '29', '33', '39']",40,"$25,492,251.60",Won
2012 May 30,"['2', '21', '36', '37', '45', '47']",15,"$19,976,363",Roll
2012 May 26,"['23', '31', '33', '38', '46', '49']",17,"$15,000,568.10",Roll
2012 May 23,"['2', '3', '7', '13', '32', '40']", 8,"$10,500,525",Roll
2012 May 19,"['14', '17', '21', '27', '37', '46']",39,"$6,770,186.20",Roll
2012 May 16,"['2', '3', '12', '15', '19', '49']", 5,"$3,000,000",Roll
2012 May 12,"['4', '5', '10', '34', '37', '45']", 7,"$21,405,058.70",Won
2012 May 9,"['2', '6', '15', '19', '24', '38']", 9,"$16,321,092.20",Roll
2012 May 5,"['5', '6', '30', '32', '45', '46']",41,"$11,847,335.60",Roll
2012 May 2,"['18', '19', '33', '40', '44', '47']",10,"$7,493,490",Roll
2012 April 28,"['9', '21', '22', '42', '44', '48']",28,"$3,772,858.30",Roll
2012 April 25,"['15', '18', '26', '33', '36', '39']",35,"$15,780,924.30",Won
2012 April 21,"['2', '8', '10', '20', '28', '38']",29,"$11,393,219.20",Roll
2012 April 18,"['6', '10', '11', '16', '32', '36']",42,"$7,288,349.80",Roll
2012 April 14,"['14', '16', '18', '20', '26', '47']",13,"$3,709,703",Roll
2012 April 11,"['1', '2', '16', '24', '36', '49']",33,"$3,237,123.30",Won
2012 April 7,"['2', '13', '16', '32', '39', '44']",27,"$12,956,563.20",Won
2012 April 4,"['18', '23', '25', '26', '45', '48']",16,"$8,214,828.60",Roll
2012 March 31,"['33', '35', '36', '39', '48', '49']",42,"$4,340,062.40",Roll
2012 March 28,"['5', '10', '12', '18', '25', '45']",15,"$7,845,281.10",Won
2012 March 24,"['11', '20', '23', '28', '40', '45']",14,"$3,912,317",Roll
2012 March 21,"['23', '27', '32', '37', '38', '45']",35,"$7,918,115.80",Won
2012 March 17,"['1', '2', '9', '15', '17', '37']",30,"$3,903,839.50",Roll
2012 March 14,"['6', '9', '11', '12', '19', '20']",47,"$12,006,714.90",Won
2012 March 10,"['4', '17', '25', '26', '39', '49']",10,"$8,103,795.70",Roll
2012 March 7,"['5', '7', '39', '41', '45', '46']",25,"$3,728,025.40",Roll
2012 March 3,"['9', '19', '20', '31', '41', '45']",42,"$4,032,657.30",Won
2012 February 29,"['5', '6', '8', '9', '11', '40']",28,"$3,000,000",Won
2012 February 25,"['2', '22', '30', '33', '35', '42']",14,"$11,521,898.90",Won
2012 February 22,"['1', '12', '22', '35', '42', '44']",40,"$7,166,689.50",Roll
2012 February 18,"['4', '12', '14', '21', '22', '37']",28,"$3,517,071.50",Roll
2012 February 15,"['3', '19', '21', '41', '43', '47']", 9,"$3,301,611.40",Won
2012 February 11,"['6', '13', '19', '32', '43', '44']", 9,"$15,574,780.10",Won
2012 February 8,"['7', '22', '23', '26', '40', '48']",39,"$10,847,696.50",Roll
2012 February 4,"['8', '10', '12', '22', '26', '28']",24,"$6,663,534.40",Roll
2012 February 1,"['2', '7', '9', '18', '23', '38']",14,"$3,000,000",Roll
2012 January 28,"['5', '6', '17', '39', '44', '48']",29,"$1,845,845",Won
2012 January 25,"['2', '12', '20', '35', '41', '49']",36,"$3,436,261.10",Won
2012 January 21,"['9', '11', '31', '34', '48', '49']",41,"$24,907,026",Won
2012 January 18,"['4', '7', '10', '27', '37', '49']",44,"$19,496,893.90",Roll
2012 January 14,"['1', '3', '7', '11', '38', '40']",37,"$15,032,160.30",Roll
2012 January 11,"['9', '10', '11', '18', '39', '45']",23,"$10,703,509.10",Roll
2012 January 7,"['6', '8', '11', '25', '28', '45']", 7,"$6,732,159",Roll
2012 January 4,"['1', '8', '11', '21', '24', '41']",45,"$3,052,345",Roll
2013 December 28,"['13', '20', '23', '34', '38', '46']",18,"$16,383,989.20",Won
2013 December 25,"['4', '18', '23', '32', '34', '47']",44,"$12,258,548.70",Roll
2013 December 21,"['1', '2', '10', '19', '22', '44']",41,"$7,000,000",Roll
2013 December 18,"['2', '4', '16', '20', '25', '46']",23,"$5,000,000",Roll
2013 December 14,"['13', '18', '19', '20', '35', '40']",14,"$7,159,544.20",Won
2013 December 11,"['4', '15', '28', '31', '37', '44']",35,"$5,000,000",Roll
2013 December 7,"['2', '8', '11', '15', '24', '27']",44,"$5,000,000.10",Won
2013 December 4,"['10', '12', '16', '23', '41', '42']",19,"$19,094,240.80",Won
2013 November 30,"['2', '18', '22', '25', '37', '39']", 1,"$14,997,471.20",Roll
2013 November 27,"['8', '9', '15', '23', '40', '48']",19,"$10,800,210.60",Roll
2013 November 23,"['3', '5', '13', '16', '44', '48']", 2,"$7,000,000",Roll
2013 November 20,"['20', '26', '35', '37', '46', '48']", 9,"$5,000,000",Roll
2013 November 16,"['9', '12', '17', '20', '21', '37']",31,"$20,113,058.60",Won
2013 November 13,"['3', '8', '15', '17', '29', '33']",10,"$15,837,954.90",Roll
2013 November 9,"['4', '8', '30', '43', '46', '48']",44,"$12,245,151.20",Roll
2013 November 6,"['21', '26', '32', '34', '36', '39']",28,"$7,704,654.60",Roll
2013 November 2,"['9', '12', '13', '26', '35', '43']", 2,"$5,000,000",Roll
2013 October 30,"['4', '9', '24', '41', '47', '48']",46,"$20,223,182.30",Won
2013 October 26,"['3', '5', '16', '20', '27', '45']", 7,"$15,524,839.60",Roll
2013 October 23,"['6', '12', '14', '20', '21', '26']",33,"$11,310,808.60",Roll
2013 October 19,"['3', '4', '6', '23', '33', '44']",31,"$7,459,125.60",Roll
2013 October 16,"['3', '10', '17', '18', '19', '23']",38,"$5,000,000",Roll
2013 October 12,"['7', '12', '20', '22', '26', '35']",13,"$40,000,000",Won
2013 October 9,"['18', '22', '24', '30', '43', '48']",42,"$31,894,363.20",Roll
2013 October 5,"['2', '12', '18', '26', '35', '36']", 7,"$26,079,988.40",Roll
2013 October 2,"['2', '10', '16', '36', '40', '45']",11,"$20,716,882.60",Roll
2013 September 28,"['8', '16', '18', '26', '28', '37']", 5,"$17,000,000",Roll
2013 September 25,"['5', '19', '22', '29', '31', '32']", 7,"$13,000,000",Roll
2013 September 21,"['7', '19', '21', '29', '31', '36']",42,"$9,000,000",Roll
2013 September 18,"['13', '22', '23', '31', '35', '45']",33,"$5,000,000",Roll
2013 September 14,"['6', '26', '41', '42', '47', '48']",31,"$14,892,204.80",Won
2013 September 11,"['13', '21', '22', '26', '35', '40']",15,"$10,109,708.10",Roll
2013 September 7,"['2', '4', '15', '29', '32', '40']",26,"$6,383,094.80",Roll
2013 September 4,"['2', '7', '12', '21', '25', '47']", 6,"$3,000,000",Roll
2013 August 31,"['5', '6', '24', '29', '35', '39']",44,"$14,797,843",Won
2013 August 28,"['13', '17', '19', '22', '28', '46']",38,"$10,450,906.80",Roll
2013 August 24,"['2', '8', '32', '36', '47', '49']",33,"$6,785,037.70",Roll
2013 August 21,"['4', '12', '28', '31', '39', '46']",42,"$3,090,663.50",Roll
2013 August 17,"['1', '6', '13', '29', '37', '39']",17,"$3,377,004.70",Won
2013 August 14,"['14', '20', '28', '31', '44', '49']",34,"$3,197,183",Won
2013 August 10,"['8', '23', '25', '32', '33', '48']",28,"$6,858,653.10",Won
2013 August 7,"['19', '21', '29', '32', '34', '47']", 8,"$3,096,716.20",Roll
2013 August 3,"['2', '3', '9', '17', '29', '40']",41,"$3,367,704",Won
2013 July 31,"['5', '15', '30', '42', '46', '49']",35,"$7,036,047",Won
2013 July 27,"['3', '15', '17', '20', '27', '43']",30,"$3,357,054.70",-
2013 July 24,"['2', '5', '12', '22', '44', '48']",10,"$3,000,000",Won
2013 July 20,"['3', '20', '24', '26', '37', '47']",35,"$11,062,889.80",Won
2013 July 17,"['11', '12', '16', '29', '38', '43']",25,"$6,974,576.80",Roll
2013 July 13,"['2', '11', '14', '22', '41', '42']",13,"$3,477,558.60",Roll
2013 July 10,"['7', '8', '11', '19', '25', '46']",17,"$3,000,000",Won
2013 July 6,"['21', '23', '24', '33', '38', '44']",45,"$19,733,070.80",Won
2013 July 3,"['16', '17', '19', '22', '40', '43']",10,"$14,932,222.40",Roll
2013 June 29,"['4', '11', '12', '14', '25', '37']",36,"$11,021,536.50",Roll
2013 June 26,"['1', '3', '23', '33', '40', '48']",42,"$6,667,226.90",Roll
2013 June 22,"['3', '4', '5', '12', '23', '33']",27,"$3,132,321.60",Roll
2013 June 19,"['8', '23', '25', '28', '34', '39']",47,"$15,222,777.40",Won
2013 June 15,"['5', '8', '13', '14', '17', '30']", 1,"$10,999,892.10",Roll
2013 June 12,"['4', '8', '16', '25', '33', '36']",21,"$7,041,762.40",Roll
2013 June 8,"['8', '11', '19', '42', '46', '47']",27,"$3,584,790.20",Roll
2013 June 5,"['5', '15', '19', '31', '42', '47']",20,"$7,111,225.80",Won
2013 June 1,"['2', '7', '24', '37', '38', '40']", 9,"$3,572,611.90",Roll
